Country Name,Country Code,ISO3166-1-numeric,2020,2021,2022,2023,2024
"Congo, Rep.",COG,178,28.59,32.71,34.35,39.31,40.41
Costa Rica,CRI,188,28.23,34.61,39.82,33.56,32.80
Cote d'Ivoire,CIV,384,20.95,22.82,28.60,26.38,25.24
Croatia,HRV,191,48.27,52.54,65.90,54.71,54.77
Cuba,CUB,192,7.51,45.13,53.37,74.91,82.39
Curacao,CUW,531,,,,,
Cyprus,CYP,196,81.02,86.07,101.09,94.35,93.38
Czechia,CZE,203,61.02,66.83,71.60,63.49,62.62
Denmark,DNK,208,49.40,53.11,61.24,60.31,60.76
Djibouti,DJI,262,108.61,120.75,143.03,135.16,114.82
Dominica,DMA,212,,,,,
Dominican Republic,DOM,214,25.94,30.42,32.35,28.52,29.02
Ecuador,ECU,218,20.71,26.20,30.96,28.43,26.92
"Egypt, Arab Rep.",EGY,818,19.65,19.30,21.90,21.34,23.22
El Salvador,SLV,222,41.93,53.06,56.27,50.32,51.90
Equatorial Guinea,GNQ,226,37.08,31.84,28.85,24.84,25.38
Eritrea,ERI,232,,,,,
Estonia,EST,233,69.24,80.86,88.26,76.82,75.37
Eswatini,SWZ,748,40.41,45.32,48.08,51.22,53.72
Ethiopia,ETH,231,16.88,16.71,18.35,14.00,11.86
Faroe Islands,FRO,234,48.80,51.51,61.49,56.14,51.20
Fiji,FJI,242,,,,,
Finland,FIN,246,35.97,39.87,48.28,42.77,41.55
France,FRA,250,30.28,32.50,39.35,36.17,34.22
French Polynesia,PYF,258,36.33,39.54,47.71,47.60,46.15
Gabon,GAB,266,22.51,24.41,24.48,27.75,27.47
"Gambia, The",GMB,270,37.79,35.48,36.15,32.91,33.42
Georgia,GEO,268,55.99,58.93,62.22,57.88,55.64
Germany,DEU,276,33.81,37.40,43.16,39.00,37.66
Ghana,GHA,288,35.05,32.65,35.45,32.62,34.32
Gibraltar,GIB,292,,,,,
Greece,GRC,300,38.84,47.75,58.89,48.63,47.66
Greenland,GRL,304,46.69,49.63,52.58,51.09,
Grenada,GRD,308,,,,,
Guam,GUM,316,57.27,58.74,63.98,,
Guatemala,GTM,320,24.80,31.63,35.49,31.69,31.45
Guinea,GIN,324,68.80,58.98,48.75,51.70,56.38
Guinea-Bissau,GNB,624,27.42,27.27,31.03,27.27,26.96
Guyana,GUY,328,,,,,
Haiti,HTI,332,29.76,29.93,29.29,25.51,18.85
Honduras,HND,340,52.13,64.01,70.26,61.42,57.56
"Hong Kong SAR, China",HKG,344,174.38,198.45,190.39,176.21,177.72
Hungary,HUN,348,76.44,79.78,95.23,77.15,71.11
Iceland,ISL,352,34.52,38.87,46.31,43.26,43.52
India,IND,356,19.08,24.02,26.82,23.54,23.49
Indonesia,IDN,360,15.64,18.79,20.96,19.58,20.39
"Iran, Islamic Rep.",IRN,364,25.49,20.65,23.35,25.47,28.51
Iraq,IRQ,368,29.99,24.18,24.23,29.83,33.20
Ireland,IRL,372,118.97,94.63,98.25,103.12,102.19
Isle of Man,IMN,833,,,,,
Israel,ISR,376,24.06,26.08,29.26,27.58,26.02
Italy,ITA,380,25.21,29.13,36.92,31.78,30.32
Jamaica,JAM,388,,,,,
Japan,JPN,392,15.80,18.63,25.27,23.30,23.64
Jordan,JOR,400,42.16,50.37,61.56,56.83,57.07
Kazakhstan,KAZ,398,26.50,25.02,26.77,27.68,25.57
Kenya,KEN,404,18.96,21.89,24.32,24.22,23.12
Kiribati,KIR,296,67.99,70.73,100.08,101.68,
"Korea, Dem. People's Rep.",PRK,408,,,,,
"Korea, Rep.",KOR,410,30.93,35.97,45.29,40.94,40.28
Kuwait,KWT,414,38.30,30.28,30.47,38.35,
Kyrgyz Republic,KGZ,417,49.41,64.46,87.45,95.49,84.21
Lao PDR,LAO,418,,,,,
Latvia,LVA,428,61.22,69.99,82.39,69.65,66.93
Lebanon,LBN,422,33.76,52.80,80.06,73.65,
Lesotho,LSO,426,96.65,93.04,95.87,98.59,
Liberia,LBR,430,,,,,
Libya,LBY,434,30.61,72.23,64.34,72.25,56.85
Liechtenstein,LIE,438,,,,,
Lithuania,LTU,440,63.36,75.18,88.87,72.57,68.93
Luxembourg,LUX,442,171.14,181.89,189.87,185.19,159.73
"Macao SAR, China",MAC,446,61.77,79.42,85.58,53.46,49.89
Madagascar,MDG,450,28.87,32.12,40.00,34.13,31.72
Malawi,MWI,454,30.03,31.88,32.27,31.19,
Malaysia,MYS,458,55.21,63.40,69.62,63.91,66.02
Maldives,MDV,462,66.12,66.51,79.57,75.31,78.26
Mali,MLI,466,30.90,33.28,35.54,32.78,27.33
Malta,MLT,470,112.41,101.41,116.70,101.50,99.68
Marshall Islands,MHL,584,72.34,74.08,88.36,79.92,81.74
Mauritania,MRT,478,45.37,48.45,62.29,53.76,52.19
Mauritius,MUS,480,65.76,74.43,80.63,78.28,78.31
Mexico,MEX,484,37.62,42.50,45.87,37.51,37.89
"Micronesia, Fed. Sts.",FSM,583,67.85,67.16,69.48,70.22,71.49
Moldova,MDA,498,51.35,57.82,70.89,58.88,57.25
Monaco,MCO,492,,,,,
Mongolia,MNG,496,55.18,60.55,71.27,66.61,69.73
Montenegro,MNE,499,61.61,62.60,74.11,67.58,66.20
Morocco,MAR,504,38.05,42.39,56.19,50.70,50.19
Mozambique,MOZ,508,67.12,71.73,85.45,60.44,52.82
Myanmar,MMR,104,,,,,
Namibia,NAM,516,43.25,51.59,58.80,67.14,67.98
Nauru,NRU,520,91.40,79.98,113.53,100.49,110.52
Nepal,NPL,524,34.11,37.93,42.27,34.56,32.91
Netherlands,NLD,528,70.99,76.70,87.66,77.54,71.40
New Caledonia,NCL,540,36.54,34.89,35.09,34.69,28.67
New Zealand,NZL,554,22.28,26.23,29.43,26.69,26.42
Nicaragua,NIC,558,46.89,59.80,65.56,59.15,58.06
Niger,NER,562,25.78,27.02,26.40,22.77,22.65
Nigeria,NGA,566,,,,,
North Macedonia,MKD,807,70.47,81.28,93.36,80.40,74.65
Northern Mariana Islands,MNP,580,64.20,72.87,70.89,,
Norway,NOR,578,33.14,28.19,27.11,32.45,33.87
Oman,OMN,512,44.82,42.62,42.49,44.86,48.78
Pakistan,PAK,586,17.42,17.98,22.49,17.97,17.19
Palau,PLW,585,80.27,74.43,89.53,80.42,
Panama,PAN,591,32.43,38.53,45.45,42.72,39.32
Papua New Guinea,PNG,598,,,,,
Paraguay,PRY,600,29.49,34.26,39.37,40.34,39.63
Peru,PER,604,21.23,26.19,28.47,23.65,22.94
Philippines,PHL,608,32.97,37.73,44.04,40.78,40.11
Poland,POL,616,46.83,53.84,60.67,52.14,48.18
Portugal,PRT,620,39.25,44.33,51.88,45.98,43.92
Puerto Rico (US),PRI,630,43.16,42.33,45.81,48.01,42.75
Qatar,QAT,634,40.90,34.05,31.62,,
Romania,ROU,642,41.39,46.38,50.44,44.13,41.61
Russian Federation,RUS,643,20.44,20.58,15.06,18.34,17.59
Rwanda,RWA,646,35.86,34.79,38.67,39.90,39.13
Samoa,WSM,882,48.29,48.30,49.36,54.63,48.87
San Marino,SMR,674,140.42,158.16,173.02,154.99,
Sao Tome and Principe,STP,678,,,,,
