Country Name,Country Code,ISO3166-1-numeric,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Croatia,HRV,191,45.22116136,45.51898575,48.32824821,49.97373695,50.90290243,48.2677342,52.54175393,65.89883328,54.71064604,54.77123688
Cuba,CUB,192,14.46642367,12.2865819,11.6711659,12.56081506,10.60751676,7.514531634,45.1302048,53.37114768,74.90711094,82.39307556
Curacao,CUW,531,79.81969965,76.05746871,80.18276005,92.02285745,,,,,,
Cyprus,CYP,196,67.25912335,68.53804623,74.17687642,73.11243279,74.74730196,81.02146374,86.06990366,101.0874504,94.35079305,93.38263498
Czechia,CZE,203,74.00583385,70.43867166,70.06640223,69.5319364,66.02975886,61.01945707,66.82807116,71.60206597,63.48949137,62.61682962
Denmark,DNK,208,49.31604088,47.70883091,48.86972536,51.83061712,52.94086715,49.39653535,53.11412483,61.24061003,60.31097537,60.76301777
Djibouti,DJI,262,122.9421488,109.3079735,155.8696049,143.778914,154.2213659,108.6100173,120.7495348,143.0346737,135.1607212,114.822196
Dominica,DMA,212,,,,,,,,,,
Dominican Republic,DOM,214,28.31028914,27.53679009,26.57978359,28.34208131,27.58764961,25.93595411,30.42172293,32.35201105,28.52029664,29.015587
Ecuador,ECU,218,25.07355398,19.99520064,22.13213593,24.46547748,24.03421489,20.70574877,26.19530003,30.95554713,28.43182398,26.92453887
"Egypt, Arab Rep.",EGY,818,21.66209747,19.90108511,27.81804754,27.92636406,24.4799857,19.65347983,19.29582327,21.89607906,21.34430943,23.22450988
El Salvador,SLV,222,47.07409771,44.36050287,45.27488682,46.69924311,46.08610349,41.93270867,53.06358059,56.26762623,50.3176292,51.89894178
Equatorial Guinea,GNQ,226,42.21958535,41.18790078,43.56515304,44.0311469,43.74804288,37.08243479,31.83909755,28.84593093,24.84095533,25.37719853
Eritrea,ERI,232,,,,,,,,,,
Estonia,EST,233,72.47269689,72.26937055,70.33009256,70.58472971,68.33299364,69.23808788,80.85601348,88.25718142,76.81795741,75.36821909
Eswatini,SWZ,748,43.40331843,44.07155684,43.72384301,44.62065723,41.87931033,40.41082523,45.31881731,48.07619341,51.22358875,53.72472918
Ethiopia,ETH,231,30.29281055,27.0869585,23.47427478,22.82669082,20.8753289,16.87891444,16.71334827,18.35153932,14.00228322,11.86116504
Faroe Islands,FRO,234,52.39417913,50.01636903,50.87360878,54.05665812,52.85352967,48.79582522,51.50755605,61.48893753,56.14164243,51.19654724
Fiji,FJI,242,,,,,,,,,,
Finland,FIN,246,36.18025424,36.38887988,37.77246713,39.99439426,39.94583218,35.97025217,39.86750494,48.27775377,42.77033367,41.55230955
France,FRA,250,31.81119247,31.84454637,33.08401411,33.88427889,33.53941778,30.2816679,32.5004327,39.34695937,36.16988818,34.21843331
French Polynesia,PYF,258,36.01670356,34.00386083,35.02073207,44.0354941,42.71375337,36.33345496,39.53569125,47.70928058,47.60428202,46.14749422
Gabon,GAB,266,27.91777295,26.09803377,24.84198647,22.73752121,21.99701622,22.51457183,24.40919171,24.48435566,27.75037554,27.46850704
"Gambia, The",GMB,270,28.9515245,25.35845316,37.25284479,42.52428423,35.83202038,37.78787629,35.48064804,36.1520709,32.90879361,33.42177492
Georgia,GEO,268,56.87906217,54.9269603,56.70772521,60.1521995,63.50577183,55.99076001,58.92654634,62.21655847,57.88411933,55.64140534
Germany,DEU,276,35.17118395,34.37044826,35.25188188,36.62833464,36.73299824,33.81372583,37.39969693,43.15734987,38.99528596,37.65667122
Ghana,GHA,288,42.6895661,36.6837603,36.67149051,34.50362202,39.37520287,35.05007823,32.65271144,35.45141224,32.61704503,34.3150461
Gibraltar,GIB,292,,,,,,,,,,
Greece,GRC,300,33.08528616,32.47818887,36.10313737,40.60718081,41.0298064,38.84331397,47.7522569,58.89022267,48.63224983,47.66484962
Greenland,GRL,304,45.52153588,45.07262521,43.51502212,45.32211172,51.14805106,46.69367925,49.62838833,52.57504573,51.09145727,
Grenada,GRD,308,,,,,,,,,,
Guam,GUM,316,53.26780479,51.44890696,50.29103609,53.71013056,55.81431943,57.26842461,58.74238049,63.97973951,,
Guatemala,GTM,320,30.06354466,27.61964652,27.57436393,28.84235942,27.90476138,24.79714764,31.63149247,35.4855385,31.69083295,31.45132481
Guinea,GIN,324,50.94585876,82.46795481,56.59133532,48.77701601,43.37326389,68.79544138,58.97689951,48.74662126,51.69746371,56.38481096
Guinea-Bissau,GNB,624,29.32366363,30.52594201,30.37936719,29.54272171,31.6626207,27.41743423,27.27156216,31.03365156,27.26655788,26.95926652
Guyana,GUY,328,,,,,,,,,,
Haiti,HTI,332,30.17799113,29.80893127,31.07107744,34.35775371,34.01104534,29.76287564,29.93183192,29.29079017,25.51473371,18.84711044
Honduras,HND,340,62.0976479,57.10161217,58.71925624,62.09634565,59.24101425,52.12571628,64.0072451,70.25934312,61.42329936,57.56105759
"Hong Kong SAR, China",HKG,344,193.5083476,184.7221029,187.8932671,188.5532665,176.092206,174.3752226,198.4454177,190.3946252,176.2104948,177.7153684
Hungary,HUN,348,79.85585436,77.86048104,79.2867025,79.30407928,78.85985577,76.43907119,79.77609295,95.22825661,77.15111517,71.11367123
Iceland,ISL,352,43.5540283,40.2709935,40.68744583,42.46307959,39.07850367,34.51629107,38.86677306,46.3070983,43.25904889,43.51520698
India,IND,356,22.10972471,20.9242508,21.95073212,23.68914073,21.24113863,19.0756284,24.02393045,26.82372895,23.5441445,23.48744745
Indonesia,IDN,360,20.77746098,18.33234795,19.17819264,22.07156246,19.03624974,15.64100712,18.78820264,20.96175851,19.58243967,20.38933443
"Iran, Islamic Rep.",IRN,364,20.70175415,19.56746016,21.32276214,26.97565548,26.277063,25.49409263,20.6531717,23.3517323,25.47190254,28.51065858
Iraq,IRQ,368,35.07762216,26.47979651,25.86484898,24.99914974,30.93807022,29.99203884,24.18161548,24.23284788,29.83008856,33.20124973
Ireland,IRL,372,97.01541633,110.530094,104.8078126,96.48500056,126.4282636,118.9685471,94.63468064,98.24943902,103.1232609,102.1852732
Isle of Man,IMN,833,,,,,,,,,,
Israel,ISR,376,28.03610572,28.10302275,27.3024555,29.05125201,27.34430639,24.06437435,26.07827959,29.25952458,27.57981809,26.01723871
Italy,ITA,380,26.29157476,25.63339781,27.44310811,28.46147624,27.74431634,25.21362872,29.13036876,36.91736226,31.77558853,30.31872696
Jamaica,JAM,388,,,,,,,,,,
Japan,JPN,392,17.99064852,15.25227761,16.83177447,18.2949862,17.75289168,15.80202577,18.62925429,25.26656271,23.29928832,23.63795175
Jordan,JOR,400,58.8134752,54.32550783,55.36323138,52.83679935,49.35289306,42.16000685,50.37445569,61.55799228,56.83098536,57.06739262
Kazakhstan,KAZ,398,24.5330208,28.46770794,24.427635,25.90273809,28.41962945,26.49753557,25.02374645,26.76530584,27.68370632,25.57417951
Kenya,KEN,404,25.19865079,21.61527477,23.25839793,21.87277784,20.33146615,18.9580936,21.89230958,24.31829547,24.22042344,23.1203987
Kiribati,KIR,296,95.9316607,94.65251124,87.30493117,74.31573503,83.33163724,67.98523281,70.73032242,100.0811017,101.6836209,
"Korea, Dem. People's Rep.",PRK,408,,,,,,,,,,
"Korea, Rep.",KOR,410,34.420046,31.78673457,34.34325083,35.25516642,34.4057366,30.92975766,35.96748549,45.29028654,40.93652833,40.28425676
Kuwait,KWT,414,44.934616,48.52538711,46.64373086,45.4741679,39.62745631,38.2993629,30.27557639,30.47110539,38.34963764,
Kyrgyz Republic,KGZ,417,75.77197023,69.99816514,66.36460445,67.2738299,60.95381269,49.41040062,64.45578698,87.44944622,95.48518066,84.20758625
Lao PDR,LAO,418,51.8460644,41.88246346,,,,,,,,
Latvia,LVA,428,63.78445185,61.40209878,64.57404906,64.36427687,62.75478869,61.22395578,69.98533846,82.39129435,69.65333401,66.92837752
Lebanon,LBN,422,48.69937491,45.9974619,46.52849607,47.50278615,42.28315705,33.75721742,52.80299271,80.05949902,73.6549981,
Lesotho,LSO,426,86.83096937,90.5355825,98.8898373,94.60184404,94.30730531,96.64759265,93.04038964,95.86759886,98.59077521,
Liberia,LBR,430,,,,,,,,,,
Libya,LBY,434,34.67753321,26.53228851,20.35171048,24.16762918,36.63864678,30.61200338,72.22946242,64.34076117,72.25390047,56.84519846
Liechtenstein,LIE,438,,,,,,,,,,
Lithuania,LTU,440,69.59119423,66.98102476,71.31205249,72.67261339,71.55627302,63.36188006,75.17678916,88.87176286,72.56905091,68.93441011
Luxembourg,LUX,442,159.2965253,157.3387756,161.0464884,164.6472452,176.0806347,171.1444341,181.8880179,189.8687138,185.1871456,159.734951
"Macao SAR, China",MAC,446,40.5454662,36.08152502,34.80767135,33.71697061,32.58451762,61.76942425,79.42105928,85.57644484,53.45742368,49.88982795
Madagascar,MDG,450,32.82973271,31.74212905,34.44077063,36.30548101,34.1769218,28.86863248,32.12422649,40.00383954,34.1299942,31.71710079
Malawi,MWI,454,,,32.62518591,31.90599214,31.20599587,30.02758922,31.8838054,32.27424401,31.19263201,
Malaysia,MYS,458,61.92138155,60.12356457,63.14343086,61.84765408,57.75079519,55.21024653,63.40293914,69.61680727,63.91450808,66.02148618
Maldives,MDV,462,67.29271789,72.76657915,72.85266213,76.0428279,71.61181294,66.12070327,66.50831153,79.57257737,75.30620691,78.2597392
Mali,MLI,466,33.35122842,33.95374014,30.5854909,30.10078719,32.27148778,30.89928807,33.28027981,35.53567486,32.78331228,27.33063735
Malta,MLT,470,98.46343612,100.1932115,96.42109355,104.749247,108.550402,112.4070729,101.4100704,116.7002845,101.5036066,99.6844352
Marshall Islands,MHL,584,94.24763201,79.83305253,86.03233505,88.7565,115.9458566,72.33751034,74.07774452,88.36013385,79.91977056,81.74494479
Mauritania,MRT,478,47.15164174,39.22812112,44.30930265,52.56047909,51.08917009,45.37006385,48.45085049,62.2880913,53.7583537,52.18800438
Mauritius,MUS,480,68.5698002,65.26248699,66.61985116,64.97148205,67.59496302,65.7642098,74.4256503,80.63450018,78.28024678,78.30993919
Mexico,MEX,484,36.25020199,38.87462616,39.43803742,41.16873121,38.93232147,37.61918362,42.50010443,45.86619537,37.50946647,37.88553917
"Micronesia, Fed. Sts.",FSM,583,79.95484929,74.46153846,72.70194986,67.09183673,69.03553299,67.84611643,67.16004187,69.4783522,70.22004243,71.48537495
Moldova,MDA,498,57.15949367,56.13818478,56.09054368,56.75041748,56.44115216,51.35138586,57.82209883,70.89121213,58.88203536,57.25256831
Monaco,MCO,492,,,,,,,,,,
Mongolia,MNG,496,45.46961324,50.18304317,56.7662226,68.19109096,65.17928144,55.1782979,60.54921448,71.26657879,66.60712947,69.73181643
Montenegro,MNE,499,61.39672096,63.35395868,65.21026475,67.64036827,65.69228595,61.60900174,62.59988096,74.11099609,67.57764648,66.19702152
Morocco,MAR,504,37.29282204,40.38806524,41.56689689,43.42645015,41.90505841,38.04969644,42.38733224,56.19468197,50.70028106,50.18872131
Mozambique,MOZ,508,66.18891012,75.01242081,64.70217738,79.07642169,68.44911504,67.11627258,71.72846593,85.45263561,60.4443322,52.82412461
Myanmar,MMR,104,,,,,,,,,,
Namibia,NAM,516,61.86818338,58.95672054,47.59886202,45.83130074,46.50026888,43.24737345,51.58789221,58.80408295,67.14394499,67.98464234
Nauru,NRU,520,128.4313725,97.76119403,82.06896552,85.92846154,95.51165714,91.39650538,79.97825532,113.5282857,100.4888889,110.5241935
Nepal,NPL,524,36.4511418,33.93590808,36.83022197,40.63174592,41.46959011,34.11357577,37.93463331,42.27101061,34.56418301,32.90792411
Netherlands,NLD,528,76.33396503,70.05602805,74.46651244,76.50268712,75.35573239,70.99170446,76.70483989,87.66386267,77.54436819,71.40029168
New Caledonia,NCL,540,41.97762981,38.76412976,37.92038453,38.107676,39.8810035,36.53663894,34.88961329,35.09077172,34.69338012,28.67424423
New Zealand,NZL,554,26.9175839,25.79487349,26.57985538,27.90086626,27.12446299,22.280094,26.23136178,29.42877545,26.69141994,26.41915861
Nicaragua,NIC,558,58.11038631,54.93170142,55.04161717,51.70759306,49.23778614,46.89202258,59.80314776,65.55890398,59.15372584,58.06277522
Niger,NER,562,30.45906041,24.30477033,26.26457052,26.24311124,26.34318951,25.77514505,27.02217288,26.40307422,22.76876086,22.65206346
Nigeria,NGA,566,,,,,,,,,,
North Macedonia,MKD,807,64.96044397,65.52156625,68.99156455,72.84007033,76.16817505,70.46975855,81.27754663,93.36195784,80.39725544,74.64567243
Northern Mariana Islands,MNP,580,69.78021978,81.13821138,62.11538462,58.03228286,62.25614928,64.20323326,72.86652079,70.89416058,,
Norway,NOR,578,31.85666781,33.17867097,32.37651677,31.7821685,34.25489521,33.14364126,28.18641186,27.10965906,32.45174661,33.87180017
Oman,OMN,512,46.72501925,41.54463946,43.23660154,38.65677581,36.98529803,44.82101743,42.61972838,42.49450737,44.86238826,48.78010541
Pakistan,PAK,586,16.71361507,15.96486166,17.25042366,19.04425747,19.51471345,17.41772129,17.97882052,22.49076321,17.9737338,17.18801556
Palau,PLW,585,73.5714815,70.11604752,76.45318535,75.05684991,77.15118781,80.27097114,74.43357358,89.53232011,80.41615401,
Panama,PAN,591,49.19253747,42.65521639,42.57652653,43.78385709,40.21447608,32.43133532,38.52675959,45.44867098,42.71966652,39.31593656
Papua New Guinea,PNG,598,,,,,,,,,,
Paraguay,PRY,600,32.18040683,30.61608233,32.91084986,35.21600009,35.13487079,29.48959049,34.25518051,39.36852044,40.34102056,39.62947507
Peru,PER,604,23.8754434,22.78852746,22.79367839,23.4392855,22.90441794,21.23452405,26.19138977,28.46511519,23.64987838,22.93829698
Philippines,PHL,608,31.93353487,35.10306242,38.61607889,41.94979293,40.45892225,32.96672099,37.7325749,44.04228206,40.78311997,40.11203137
Poland,POL,616,45.09379055,46.95947394,48.87336767,50.20988672,48.96814034,46.82520571,53.83630695,60.66881661,52.14366402,48.17962946
Portugal,PRT,620,39.94700922,39.16725756,41.86511366,43.05811492,43.11786297,39.25262559,44.32511803,51.88246428,45.98037678,43.92468381
Puerto Rico (US),PRI,630,41.68569922,41.5158808,44.40792495,46.04722157,46.99257275,43.16184577,42.33302577,45.81017658,48.01274317,42.7455385
Qatar,QAT,634,36.64615369,41.83376938,38.60515245,35.89654449,37.85748109,40.90016703,34.05311628,31.61523202,,
Romania,ROU,642,42.17138312,43.47619312,44.82179036,45.30697891,44.57115963,41.39050536,46.37680927,50.43654554,44.13073486,41.61195709
Russian Federation,RUS,643,20.65595987,20.66363686,20.78564336,20.78764357,20.79532298,20.44472269,20.58377593,15.06248308,18.34161446,17.59156448
Rwanda,RWA,646,31.97018878,34.06310395,33.14688654,34.67611539,36.15021932,35.86200972,34.79133715,38.66701799,39.90117342,39.13233313
Samoa,WSM,882,47.49340988,46.43379717,44.34880743,46.96929114,48.29775015,48.28838771,48.29886576,49.36200625,54.63193407,48.86627715
San Marino,SMR,674,146.9113325,147.0779198,145.0716424,142.8904588,143.2675389,140.4244732,158.1558925,173.0237205,154.9906006,
Sao Tome and Principe,STP,678,,,,,,,,,,
Saudi Arabia,SAU,682,35.66513761,28.7785738,27.16944126,23.58192731,24.63461551,23.7233477,21.72826494,20.83915488,23.9264922,25.569493
Senegal,SEN,686,35.43314317,32.54731111,35.7751967,38.840748,39.25311641,39.34631876,44.73639187,52.90065743,48.28817325,43.44943087
Serbia,SRB,688,50.14302579,51.2370236,54.60799013,56.89350279,58.61631389,54.21937322,60.0018978,71.17512478,59.41745483,58.14126168
Seychelles,SYC,690,97.39038421,95.51593099,103.5326641,98.6631328,91.05157826,86.93664205,103.5069435,99.70523212,97.41889329,103.2008491
Sierra Leone,SLE,694,25.99743882,28.95496332,27.67073332,26.13863438,27.86781215,20.72263171,26.59587668,28.27373472,34.32313842,23.2797967
Singapore,SGP,702,151.0867904,138.2889918,145.0527838,148.3983359,147.5036851,150.258781,146.4505771,146.235277,144.1319016,143.5951411
Sint Maarten (Dutch part),SXM,534,,,,,,,,,,
Slovak Republic,SVK,703,88.73217328,90.44569259,92.69227053,93.80613205,91.87852212,83.23582987,91.21762273,104.9888251,89.89731622,85.7293012
Slovenia,SVN,705,69.55419757,69.80186141,74.82015568,77.04485692,75.68721734,69.27720859,78.08878572,92.33081685,76.72139557,74.74053919
Solomon Islands,SLB,90,47.82793228,45.82115407,43.51834906,46.36858875,46.5015636,32.28189748,40.86453853,46.70356389,64.87522515,70.78446579
"Somalia, Fed. Rep.",SOM,706,59.60776341,58.22560461,55.62914805,59.60878953,57.23197782,62.04218822,62.94421597,73.07654611,81.18269757,99.1142308
South Africa,ZAF,710,29.01303773,27.70516933,26.19585605,26.98850798,26.695867,23.18374492,24.97310312,31.40769409,32.42606322,29.85486341
South Sudan,SSD,728,28.8999999,,,,,,,,,
Spain,ESP,724,30.28335627,29.61164487,31.26705093,32.13459641,31.69066211,28.96510316,32.76750462,38.79405144,33.98098896,32.89438197
Sri Lanka,LKA,144,27.02458699,26.64750098,26.91620976,28.36314814,27.60199296,21.63147894,24.30742474,25.12304556,22.84709407,22.51118015
St. Kitts and Nevis,KNA,659,,,,,,,,,,
St. Lucia,LCA,662,,,,,,,,,,
St. Martin (French part),MAF,663,,,,,,,,,,
St. Vincent and the Grenadines,VCT,670,,,,,,,,,,
Sudan,SDN,729,11.95536193,10.27717888,11.71924557,14.21771674,17.66663704,4.829832382,1.87767821,1.127672605,1.36562019,1.274481912
Suriname,SUR,740,,,,,,,,,,
Sweden,SWE,752,40.46161417,40.51440072,42.15156169,44.46786276,44.46248065,40.18721866,43.62600041,52.79968847,52.42383147,51.57351051
Switzerland,CHE,756,53.30952646,56.74819859,57.27331731,56.95031822,57.1622185,57.69042084,58.89702837,62.36093098,61.98684348,61.93620375
Syrian Arab Republic,SYR,760,36.79510316,45.43183763,41.71117659,35.7420714,28.98940466,31.13232783,45.70751452,28.7993412,,
Tajikistan,TJK,762,40.13511764,42.52431544,38.85756499,41.47063294,41.06507664,38.42478945,47.64400755,49.08238754,48.44286358,
Tanzania,TZA,834,23.65276932,19.07049534,17.44910042,17.90346651,16.9818431,14.45914135,15.79516168,19.58974119,21.01660493,21.68263785
Thailand,THA,764,57.20297188,53.50434332,54.21859497,56.00376783,50.17062409,46.30631664,58.69355544,67.48594789,63.37955121,66.69737628
Timor-Leste,TLS,626,57.02661533,57.15419864,56.22574078,61.88765133,49.3999249,48.08409544,36.34721159,42.0091749,66.38155762,84.89094872
Togo,TGO,768,42.41750801,39.71354225,32.9067829,33.2436898,32.43447212,31.99569259,33.24326202,36.56588191,,
Tonga,TON,776,64.43209011,63.27160802,65.86735896,64.89254587,65.81208594,62.14437648,57.46473442,59.36386808,64.87989981,
Trinidad and Tobago,TTO,780,,,,,,,,,,
Tunisia,TUN,788,48.8486919,48.79736879,54.0884116,58.38607609,56.38228403,46.34152873,51.85321176,64.76985467,59.0894641,56.29685918
Turkiye,TUR,792,26.59414068,25.23798137,29.59615952,31.09727873,29.54857777,31.64984877,34.55526432,41.75706148,33.76961579,27.03058291
Turkmenistan,TKM,795,45.62446628,39.89557085,31.10695936,21.00028736,19.55215867,18.11764559,12.49757179,12.48456895,12.47475271,11.16199026
Turks and Caicos Islands,TCA,796,,,,,,,,,,
Tuvalu,TUV,798,,,,,,,,,,
Uganda,UGA,800,24.81197302,18.78219761,20.17592351,21.55135254,22.25199595,21.58589385,25.93262257,22.48330649,21.7399874,25.89519579
Ukraine,UKR,804,55.20893679,56.22258546,55.91006656,53.96457941,49.27954304,40.33480609,42.00962089,51.95139865,49.20914592,48.34279735
United Arab Emirates,ARE,784,70.42363965,70.9202657,70.73914611,63.90404689,70.51984382,83.21942063,82.2667808,83.68967201,92.19884022,
United Kingdom,GBR,826,29.24597099,30.77797536,32.21609348,33.0552382,33.10070614,29.21123725,29.24897918,35.13699806,33.08011441,31.85600169
United States,USA,840,15.35174567,14.64998,15.05128277,15.24939006,14.57688827,13.18745747,14.64914089,15.52953511,14.10591715,14.27117756
Uruguay,URY,858,22.85038956,21.53890078,20.44682314,21.36976654,21.83946453,21.54359269,25.37043582,27.69918209,24.77068583,23.70414487
Uzbekistan,UZB,860,16.9826802,16.85923133,24.08019966,39.9611621,39.61378947,34.13611435,36.1515861,39.5742215,41.68039784,37.96164889
Vanuatu,VUT,548,64.47136404,58.9095577,57.8656718,54.06912703,49.03769195,51.44145089,50.39846957,54.17413025,,
"Venezuela, RB",VEN,862,19.55274846,10.18881311,9.276495536,12.0895347,10.93319213,13.0854205,13.87634591,11.54906961,10.02768088,9.221317056
Viet Nam,VNM,704,71.99137636,71.30222172,79.21756182,80.24048069,79.54662762,78.86426481,92.82562571,89.7334901,78.35065203,83.70780374
Virgin Islands (U.S.),VIR,850,43.13404313,66.27172196,94.35951502,106.117767,100.4610531,75.28966659,90.0155314,108.2619863,,
West Bank and Gaza,PSE,275,54.71858807,51.09571968,52.72445437,55.439711,53.47243704,51.93056781,55.74244851,63.95867575,61.78766129,60.27379277
"Yemen, Rep.",YEM,887,21.31608154,26.27234153,33.28165709,47.32172034,,,,,,
Zambia,ZMB,894,42.72674296,38.63388551,36.59283689,36.93096498,34.15501233,32.48666294,33.99242118,29.10331771,37.39576308,27.55301466
Zimbabwe,ZWE,716,37.58902532,31.27545995,30.37014196,28.38626542,23.3373799,21.24718098,24.35494215,31.36813262,23.1741852,23.43768942
